ut	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
20324.6190861068	146	-179.999821344932	0	3.19639445550554	3.20158780302189	3.19961435049214	324.636951686732	324.754152370471	22.0041049190327	22.0077065613618	54.1560327051138
20325.7390861069	145	-179.999842303593	0	3.24143581629206	3.24673435027815	3.24464913184122	326.278183368948	326.39551423387	21.9824993999711	21.9872808364182	53.7205358102924
20326.8590861069	144	-179.999942132031	0	3.28637891511937	3.29178373698908	3.28958507841845	327.921691478394	328.039213936022	21.9621021261683	21.9679946116734	53.2966664595096
20327.9790861069	143	-179.999877418797	0	3.33122510178615	3.3367389011685	3.33442524222841	329.567016748722	329.684622697022	21.9427891381851	21.949822246703	52.8782880731448
20329.0990861069	142	-179.999919400874	0	3.3759787809551	3.38160194964154	3.37917183577059	331.213656068747	331.331361930274	21.9245497601763	21.9326620125124	52.447796475692
20330.219086107	141	-179.999878095593	0	3.42064134035949	3.42637655563485	3.42382864268559	332.861141157551	332.978869929188	21.9073426871414	21.9165100032195	52.0282303833878
20331.339086107	140	-179.999891332356	0	3.46521730535691	3.47106483989941	3.46839789309034	334.508995789267	334.626711255619	21.891104431638	21.9012737037514	51.6191222581779
20331.899086107	140	-179.999898225311	0	3.4874736612148	3.49337845925649	3.49065156215355	335.332906759218	335.450645152983	21.8833208396368	21.8940013045267	51.4183767142847
20333.019086107	139	-179.999896647535	0	3.5319245021314	3.53794427708117	3.53509668077306	336.980504853604	337.098193569648	21.868411370862	21.8800800793054	51.0242104815251
20334.139086107	138	-179.99988882241	0	3.57629623930533	3.58243212088639	3.57946284800734	338.627425903647	338.745060223705	21.854372050119	21.8669895869706	50.6395075157028
20335.2590861071	137	-179.999915385906	0	3.62059249984313	3.62684491401241	3.6237530834552	340.273243904229	340.390789280568	21.8411516836361	21.8546749063048	50.263905575395
20336.3790861071	136	-179.999916880849	0	3.66481577383588	3.67118706724429	3.66797189230028	341.917609825705	342.035017993359	21.8286696871903	21.843099781785	49.897054599085
